agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Emerson Police Department,Emerson,GA,Local Police Department,34.126606,-84.75705,6,8,Friday,May,25,2018
Buena Vista Police Department,Buena Vista,GA,Local Police Department,32.31817,-84.51551,5,5,Friday,May,25,2018
Contra Costa Community College District Police - Diablo Valley College Campus Substation,Pleasant Hill,CA,Special Jurisdiction,37.968567,-122.0713,-999,-999,Monday,July,16,2018
Hephzibah Police Department,Hephzibah,GA,Local Police Department,33.313404,-82.09747,5,5,Friday,May,25,2018
Tignall Police Department,Tignall,GA,Local Police Department,33.866856,-82.74114,1,2,Friday,May,25,2018
Newnan City Police Department,Newnan,GA,Local Police Department,33.38038,-84.79676,73,84,Friday,May,25,2018
Attapulgus Police Department,Attapulgus,GA,Local Police Department,30.749979,-84.48429,1,1,Friday,May,25,2018
Manchester Police Department,Manchester,GA,Local Police Department,32.85164,-84.6142,14,19,Wednesday,May,30,2018
City Of Reynolds Police Department,Reynolds,GA,Local Police Department,32.56,-84.09555,5,5,Wednesday,May,30,2018
Cochran Police Department,Cochran,GA,Local Police Department,32.38725,-83.3548,14,17,Wednesday,May,30,2018
Willacoochee Police Department,Willacoochee,GA,Local Police Department,31.340254,-83.04757,4,4,Wednesday,May,30,2018
Warrenton Police Department,Warrenton,GA,Local Police Department,33.404522,-82.66193,8,8,Wednesday,May,30,2018
Hahira Police Department,Hahira,GA,Local Police Department,30.99108,-83.37279,7,8,Wednesday,May,30,2018
Alma Police Department,Alma,GA,Local Police Department,31.541153,-82.46923,10,11,Thursday,May,31,2018
Summerville Police Department,Summerville,GA,Local Police Department,34.48039,-85.349396,17,18,Friday,May,25,2018
Hogansville City Police Department,Hogansville,GA,Local Police Department,33.168957,-84.90054,13,19,Thursday,May,31,2018
Macon Police Department,Macon,GA,Local Police Department,32.83605,-83.63217,270,378,Thursday,May,31,2018
Roberta Police Department,Roberta,GA,Local Police Department,32.720192,-84.00957,3,3,Thursday,May,31,2018
