agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Hiram Police Department,Hiram,GA,Local Police Department,33.875782,-84.7609,15,17,Tuesday,August,14,2018
Glennville Police Department,Glennville,GA,Local Police Department,31.935284,-81.9305,8,13,Wednesday,August,15,2018
Simmesport Police Department,Simmesport,LA,Local Police Department,30.9865,-91.81063,7,7,Tuesday,February,12,2019
Sebewaing Police Department,Sebewaing,MI,Local Police Department,43.732037,-83.45327,3,3,Wednesday,February,6,2019
Michigan Senate Police Department,Lansing,MI,Special Jurisdiction,42.73233,-84.55355,8,9,Wednesday,February,6,2019
Fowlerville Police Department,Fowlerville,MI,Local Police Department,42.65931,-84.07282,6,6,Wednesday,February,6,2019
Ionia Department Of Public Safety,Ionia,MI,Local Police Department,42.981857,-85.05799,17,19,Wednesday,February,6,2019
Olive Hill Police Department,Olive Hill,KY,Local Police Department,38.294827,-83.18505,5,5,Friday,August,10,2018
Bridgeport Township Police Department,Bridgeport,MI,Local Police Department,43.355675,-83.8802,9,10,Thursday,February,7,2019
Calumet Police Department,Calumet,MI,Local Police Department,47.24779,-88.45336,1,1,Wednesday,February,6,2019
Vanceburg Police Department,Vanceburg,KY,Local Police Department,38.600163,-83.31512,6,-999,Friday,August,10,2018
Tawas Police Authority,East Tawas,MI,Local Police Department,44.279488,-83.50033,6,7,Wednesday,February,6,2019
Crittenden County Sheriffs Office,Marion,KY,Sheriff'S Office,37.332596,-88.08177,3,4,Friday,August,10,2018
Grand Rapids Police Department - Training Unit,Grand Rapids,MI,Local Police Department,42.963577,-85.66853,319,387,Wednesday,February,6,2019
Howell Police Department,Howell,MI,Local Police Department,42.604607,-83.92357,19,21,Wednesday,February,6,2019
South Rockwood Police Department,South Rockwood,MI,Local Police Department,42.0622,-83.271675,4,4,Thursday,February,7,2019
Kenton County Police Department,Independence,KY,Local Police Department,38.910404,-84.54539,36,58,Friday,August,10,2018
New Carrollton City Police Department,New Carrollton,MD,Local Police Department,38.964725,-76.86532,12,15,Wednesday,August,8,2018
Park Hills Police Department,Covington,KY,Local Police Department,39.071487,-84.533325,6,6,Friday,August,10,2018
Bowie Police Department,Bowie,MD,Local Police Department,38.96154,-76.74121,45,52,Wednesday,August,8,2018
Richmond Police Department,Richmond,MI,Local Police Department,42.81027,-82.747314,9,12,Wednesday,February,6,2019
Owingsville Police Department,Owingsville,KY,Local Police Department,38.143764,-83.7705,5,5,Monday,August,13,2018
Snow Hill Police Department,Snowhill,MD,Local Police Department,38.176964,-75.39473,8,9,Wednesday,August,8,2018
Greensburg Police Department,Greensburg,KY,Local Police Department,37.26239,-85.501915,7,7,Monday,August,13,2018
City Of Fulton Police Department,Fulton,KY,Local Police Department,36.51139,-88.87627,10,14,Monday,August,13,2018
Kokomo Police Department,Kokomo,IN,Local Police Department,40.48612,-86.12956,100,147,Tuesday,August,28,2018
Madison County Sheriffs Department / Madison County Jail,Anderson,IN,Sheriff'S Office,40.10847,-85.676636,51,106,Tuesday,August,28,2018
Brewer Police Department,Brewer,ME,Local Police Department,44.78048,-68.760895,21,23,Thursday,March,7,2019
Lathrup Village Police Department,Lathrup Village,MI,Local Police Department,42.491467,-83.22136,7,7,Thursday,February,7,2019
Anderson Police Department,Anderson,IN,Local Police Department,40.10567,-85.67778,117,139,Tuesday,August,28,2018
Jackson County Sheriffs Office,Holton,KS,Sheriff'S Office,39.4613,-95.74712,15,26,Tuesday,August,21,2018
Swans Island Police Department,Swan'S Island,ME,Local Police Department,44.1545,-68.45151,1,1,Thursday,March,7,2019
Lincoln County Sheriffs Department,Wiscasset,ME,Sheriff'S Office,44.00471,-69.66962,28,30,Thursday,March,7,2019
Bar Harbor Police Department,Bar Harbor,ME,Local Police Department,44.388226,-68.205864,9,13,Thursday,March,7,2019
Wixom Police Department,Wixom,MI,Local Police Department,42.52376,-83.53269,20,24,Thursday,February,7,2019
South Lyon Police Department,South Lyon,MI,Local Police Department,42.46121,-83.654106,18,20,Thursday,February,7,2019
Caribou Police Department,Caribou,ME,Local Police Department,46.860363,-68.01103,14,15,Thursday,March,7,2019
Mount Vernon Police Department,Mount Vernon,KY,Local Police Department,37.35447,-84.340294,8,8,Monday,August,13,2018
Carson City Police Department,Carson City,MI,Local Police Department,43.177273,-84.8455,2,2,Thursday,February,7,2019
Greenville Department Of Public Safety,Greenville,MI,Local Police Department,43.176785,-85.25359,17,20,Thursday,February,7,2019
Westbrook Police Department,Westbrook,ME,Local Police Department,43.679226,-70.353874,35,38,Thursday,March,7,2019
Cape Elizabeth Police Department,Cape Elizabeth,ME,Local Police Department,43.59444,-70.227715,13,17,Thursday,March,7,2019
Elkton Police Department,Elkton,KY,Local Police Department,36.809853,-87.15364,7,7,Monday,August,13,2018
Lake Linden Police Department,Lake Linden,MI,Local Police Department,47.192158,-88.40888,1,1,Wednesday,February,6,2019
Hardin County Sheriffs Department,Elizabethtown,KY,Sheriff'S Office,37.692974,-85.85805,33,44,Monday,August,13,2018
Watsonville Police Department,Watsonville,CA,Local Police Department,36.908623,-121.75385,64,87,Wednesday,July,18,2018
Manteca Police Department,Manteca,CA,Local Police Department,37.799778,-121.23207,76,110,Wednesday,July,18,2018
Fort Bragg Police Department,Fort Bragg,CA,Local Police Department,39.43234,-123.803856,17,23,Wednesday,July,18,2018
Bremer County Sheriffs Office / Bremer County Jail,Waverly,IA,Sheriff'S Office,42.726532,-92.465996,11,28,Friday,August,24,2018
Charles City Police Department,Charles City,IA,Local Police Department,43.06605,-92.677315,14,21,Monday,August,27,2018
Sutherland Police Department,Sutherland,IA,Local Police Department,42.970814,-95.50001,1,1,Monday,August,27,2018
Pomeroy Police Department,Pomeroy,IA,Local Police Department,42.550575,-94.684425,1,1,Monday,August,27,2018
Scott County Sheriffs Office / Scott County Jail,Davenport,IA,Sheriff'S Office,41.52385,-90.5792,44,167,Monday,August,27,2018
Ottumwa Police Department,Ottumwa,IA,Local Police Department,41.020588,-92.4155,36,43,Monday,August,27,2018
Panora Police Department,Panora,IA,Local Police Department,41.69325,-94.35806,3,3,Monday,August,27,2018
Osceola Police Department,Osceola,IA,Local Police Department,41.04468,-93.76325,9,10,Monday,August,27,2018
Preston Police Department,Preston,IA,Local Police Department,42.05046,-90.394226,1,1,Monday,August,27,2018
De Witt Police Department,De Witt,IA,Local Police Department,41.824318,-90.53935,10,18,Monday,August,27,2018
Dubuque Police Department,Dubuque,IA,Local Police Department,42.5016,-90.665474,100,106,Wednesday,August,22,2018
Bellevue Police Department,Bellevue,IA,Local Police Department,42.25832,-90.425804,5,5,Tuesday,August,28,2018
Mount Pleasant Police Department,Mount Pleasant,IA,Local Police Department,40.966553,-91.5563,14,16,Tuesday,August,28,2018
Linn County Sheriffs Department,Cedar Rapids,IA,Sheriff'S Office,41.97489,-91.67567,104,164,Tuesday,August,28,2018
Tama Police Department,Tama,IA,Local Police Department,41.962605,-92.58018,5,5,Tuesday,August,28,2018
Bedford City Police Department,Bedford,IA,Local Police Department,40.66777,-94.71994,3,3,Tuesday,August,28,2018
Dayton Police Department,Dayton,IA,Local Police Department,42.26088,-94.071236,1,1,Tuesday,August,28,2018
Clive Police Department,Clive,IA,Local Police Department,41.60795,-93.7347,24,27,Tuesday,August,28,2018
Columbus Junction Police Department,Columbus Junction,IA,Local Police Department,41.279278,-91.36204,4,4,Wednesday,August,29,2018
Muscatine Police Department,Muscatine,IA,Local Police Department,41.424862,-91.04546,39,43,Wednesday,August,29,2018
Belmond Police Department,Belmond,IA,Local Police Department,42.84662,-93.613945,5,5,Wednesday,August,29,2018
Le Claire Police Department,Le Claire,IA,Local Police Department,41.595406,-90.34419,7,8,Wednesday,August,29,2018
Manly Police Department,Manly,IA,Local Police Department,43.28426,-93.20133,3,3,Wednesday,August,29,2018
Council Bluffs Police Department,Council Bluffs,IA,Local Police Department,41.25729,-95.85261,105,124,Wednesday,August,29,2018
Groton Long Point Police Department,Groton,CT,Local Police Department,41.312485,-72.01002,6,6,Thursday,July,26,2018
Sunny Isles Beach Police Department,Sunny Isles Beach,FL,Local Police Department,25.942583,-80.12156,45,58,Wednesday,May,30,2018
Gilcrest Police Department,Gilcrest,CO,Local Police Department,40.28341,-104.777275,3,3,Friday,May,25,2018
Assumption Parish Sheriffs Department,Napoleonville,LA,Sheriff'S Office,29.941116,-91.02432,50,78,Tuesday,February,12,2019
Louisiana State Police,Baton Rouge,LA,Primary State Agency,30.449581,-91.105675,1215,1721,Thursday,February,14,2019
Chino Police Department,Chino,CA,Local Police Department,34.012608,-117.690926,96,142,Thursday,July,19,2018
Oceanside Police Department,Oceanside,CA,Local Police Department,33.22588,-117.32868,210,308,Thursday,July,19,2018
Stallion Springs Police Department,Tehachapi,CA,Local Police Department,35.08306,-118.62568,3,3,Thursday,July,19,2018
Bakersfield Police Department,Bakersfield,CA,Local Police Department,35.373127,-119.02058,348,483,Thursday,July,19,2018
Berkeley Police Department,Berkeley,CA,Local Police Department,37.870216,-122.27325,186,290,Thursday,July,19,2018
Colma Police Department,Colma,CA,Local Police Department,37.677155,-122.45836,18,25,Thursday,July,19,2018
Madera Police Department,Madera,CA,Local Police Department,36.960518,-120.05501,60,82,Thursday,July,19,2018
Harlan Police Department,Harlan,IA,Local Police Department,41.656563,-95.31983,8,9,Wednesday,August,29,2018
Oskaloosa Police Department,Oskaloosa,IA,Local Police Department,41.295033,-92.64288,17,19,Wednesday,August,22,2018
Windsor Heights Police Department,Windsor Heights,IA,Local Police Department,41.599167,-93.708145,13,15,Wednesday,August,29,2018
Odebolt Police Department,Odebolt,IA,Local Police Department,42.312305,-95.252495,1,1,Wednesday,August,29,2018
Davenport City Police Department,Davenport,IA,Local Police Department,41.52396,-90.577576,166,215,Wednesday,August,29,2018
Ames Police Department,Ames,IA,Local Police Department,42.026382,-93.61744,51,73,Wednesday,August,29,2018
Forest City Police Department,Forest City,IA,Local Police Department,43.267868,-93.63623,9,9,Wednesday,August,29,2018
Okoboji Police Department,Okoboji,IA,Local Police Department,43.380352,-95.131134,4,4,Wednesday,August,29,2018
Prairie City Police Department,Prairie City,IA,Local Police Department,41.598225,-93.23423,3,3,Wednesday,August,29,2018
Guttenberg Police Department,Guttenberg,IA,Local Police Department,42.781445,-91.09648,4,4,Wednesday,August,29,2018
Iowa Department Of Public Safety,Des Moines,IA,Primary State Agency,41.588272,-93.607346,669,983,Wednesday,August,29,2018
Toluca Police Department,Toluca,IL,Local Police Department,41.001255,-89.13445,1,1,Monday,November,12,2018
Effingham Water Authority Police Department,Effingham,IL,Special Jurisdiction,39.124844,-88.62124,0,0,Monday,November,5,2018
Rawlins County Sheriffs Office / Rawlins County Jail,Atwood,KS,Sheriff'S Office,39.808228,-101.03963,3,4,Wednesday,August,22,2018
Wamego Police Department,Wamego,KS,Local Police Department,39.201557,-96.30622,8,13,Wednesday,August,22,2018
Dyer Police Department,Dyer,IN,Local Police Department,41.492283,-87.52224,26,35,Tuesday,August,28,2018
Crown Point Police Department,Crown Point,IN,Local Police Department,41.418602,-87.36286,40,53,Tuesday,August,28,2018
Emmett Police Department,Emmett,ID,Local Police Department,43.875324,-116.49416,13,14,Wednesday,September,5,2018
Monroeville Police Department,Monroeville,IN,Local Police Department,40.974342,-84.86932,1,1,Tuesday,August,28,2018
Munster Police Department,Munster,IN,Local Police Department,41.56238,-87.50388,39,49,Tuesday,August,28,2018
Lowell Police Department,Lowell,IN,Local Police Department,41.290863,-87.408,14,19,Tuesday,August,28,2018
Troy Police Department,Troy,KS,Local Police Department,39.786427,-95.09084,1,1,Thursday,August,23,2018
La Crosse Police Department,La Crosse,KS,Local Police Department,38.53404,-99.30987,3,3,Thursday,August,23,2018
Walton Police Department,Walton,KS,Local Police Department,38.118103,-97.256546,1,1,Thursday,August,23,2018
Jackson County Sheriffs Office / Jackson County Jail,Brownstown,IN,Sheriff'S Office,38.87447,-86.036285,14,52,Tuesday,August,28,2018
Brunswick Police Department,Brunswick,MD,Local Police Department,39.31305,-77.62576,8,10,Thursday,August,9,2018
Wyoming Police Department,Wyoming,IL,Local Police Department,41.06143,-89.76857,2,2,Friday,November,16,2018
Cheyenne County Sheriffs Office,Saint Francis,KS,Sheriff'S Office,39.774555,-101.79954,4,4,Wednesday,August,22,2018
Hyden Police Department,Hyden,KY,Local Police Department,37.16195,-83.374245,3,3,Monday,August,13,2018
Concordia Police Department,Concordia,KS,Local Police Department,39.571827,-97.66497,11,17,Thursday,August,23,2018
Lane County Sheriffs Office / Lane County Jail,Dighton,KS,Sheriff'S Office,38.481384,-100.46521,5,10,Thursday,August,23,2018
Humboldt Police Department,Humboldt,KS,Local Police Department,37.81098,-95.437195,6,6,Thursday,August,23,2018
Lewis County Sheriffs Office / Lewis County Jail,Nezperce,ID,Sheriff'S Office,46.233315,-116.240906,6,18,Wednesday,September,5,2018
Teton County Sheriffs Office,Driggs,ID,Sheriff'S Office,43.724216,-111.11059,6,16,Wednesday,September,5,2018
Bellevue Police Department,Bellevue,MI,Local Police Department,42.445057,-85.018326,2,2,Wednesday,February,6,2019
Zilwaukee Police Department,Saginaw,MI,Local Police Department,43.47907,-83.920456,2,2,Thursday,February,7,2019
Tittabawassee Township Police Department,Freeland,MI,Local Police Department,43.523705,-84.118996,5,6,Thursday,February,7,2019
Owyhee County Sheriffs Office / Owyhee County Jail,Murphy,ID,Sheriff'S Office,43.21689,-116.55101,18,25,Wednesday,September,5,2018
Denmark Township Police Department,Richville,MI,Local Police Department,43.40892,-83.67537,1,1,Tuesday,February,12,2019
Ashland Police Department,Ashland,IL,Local Police Department,39.888947,-90.006714,1,1,Tuesday,October,30,2018
Saint Marys County Sheriffs Office,Leonardtown,MD,Sheriff'S Office,38.304565,-76.628845,120,244,Thursday,August,9,2018
Leslie Police Department,Leslie,MI,Local Police Department,42.450294,-84.43103,3,3,Wednesday,February,6,2019
Thomas Township Police Department,Saginaw,MI,Local Police Department,43.418633,-84.07545,7,8,Thursday,February,7,2019
Oak Lawn Police Department,Oak Lawn,IL,Local Police Department,41.720577,-87.75384,106,128,Thursday,November,1,2018
Coffeen Police Department,Coffeen,IL,Local Police Department,39.090523,-89.39084,1,1,Tuesday,November,13,2018
Montpelier Police Department,Montpelier,ID,Local Police Department,42.31803,-111.302,5,5,Friday,August,31,2018
Morrisonville Police Department,Morrisonville,IL,Local Police Department,39.41995,-89.45505,1,1,Tuesday,October,30,2018
Custer County Sheriffs Office / Custer County Jail,Challis,ID,Sheriff'S Office,44.504963,-114.23078,8,14,Friday,August,31,2018
Edinburgh Police Department,Edinburgh,IN,Local Police Department,39.3529,-85.96814,10,15,Thursday,August,30,2018
Greene County Sheriff / Greene County Jail,Bloomfield,IN,Sheriff'S Office,39.02447,-86.92836,14,51,Friday,August,31,2018
Corydon Police Department,Corydon,IN,Local Police Department,38.211006,-86.12753,7,7,Friday,August,31,2018
Arcadia Police Department,Arcadia,IN,Local Police Department,40.17601,-86.02365,4,4,Friday,August,31,2018
Douglas County Sheriff Department / Douglas County Jail,Tuscola,IL,Sheriff'S Office,39.79105,-88.29123,13,30,Thursday,November,1,2018
Franklin County Sheriffs Office,Preston,ID,Sheriff'S Office,42.095856,-111.8781,10,13,Friday,August,31,2018
Ponderay Police Department,Ponderay,ID,Local Police Department,48.3046,-116.547035,6,7,Friday,August,31,2018
Preston Police Department,Preston,ID,Local Police Department,42.096527,-111.87844,6,7,Wednesday,September,5,2018
Dearborn County Sheriffs Department,Lawrenceburg,IN,Sheriff'S Office,39.091026,-84.85096,29,79,Friday,August,31,2018
Winnebago County Sheriff / Winnebago County Jail,Rockford,IL,Sheriff'S Office,42.27254,-89.10006,142,426,Tuesday,November,20,2018
Warren County Sheriffs Office / Warren County Jail,Monmouth,IL,Sheriff'S Office,40.912926,-90.64912,14,28,Monday,November,19,2018
City Of Clio Police Department,Clio,MI,Local Police Department,43.176888,-83.74025,5,5,Wednesday,February,6,2019
Cadiz Police Department,Cadiz,KY,Local Police Department,36.863026,-87.83678,9,10,Friday,August,10,2018
Brown County Sheriffs Office,Nashville,IN,Sheriff'S Office,39.201626,-86.243744,13,38,Tuesday,August,28,2018
Iron River Police Department,Iron River,MI,Local Police Department,46.09178,-88.639305,7,8,Wednesday,February,6,2019
Rockford Police Department,Rockford,MI,Local Police Department,43.11961,-85.558784,10,12,Wednesday,February,6,2019
Sparta Police Department,Sparta,MI,Local Police Department,43.16034,-85.71649,5,5,Wednesday,February,6,2019
Auburn Police Department,Auburn,KY,Local Police Department,36.863182,-86.70953,2,2,Friday,August,10,2018
Bourbon County Sheriffs Department,Paris,KY,Sheriff'S Office,38.213158,-84.2499,5,6,Friday,August,10,2018
Bellevue Police Department,Bellevue,KY,Local Police Department,39.10623,-84.47868,9,10,Friday,August,10,2018
Ellinwood Police Department,Ellinwood,KS,Local Police Department,38.354534,-98.58416,5,5,Tuesday,August,21,2018
Lindsborg Police Department,Lindsborg,KS,Local Police Department,38.573215,-97.673134,6,7,Tuesday,August,21,2018
Leitchfield Police,Leitchfield,KY,Local Police Department,37.479046,-86.293594,13,14,Friday,August,10,2018
Caneyville Police Department,Caneyville,KY,Local Police Department,37.42437,-86.4858,1,1,Friday,August,10,2018
Russell Police Department,Russell,KS,Local Police Department,38.893322,-98.856514,8,21,Tuesday,August,21,2018
Mcpherson Police Department,Mcpherson,KS,Local Police Department,38.37304,-97.68415,27,33,Monday,August,20,2018
Marion Police Department,Marion,KY,Local Police Department,37.331364,-88.082054,6,8,Friday,August,10,2018
Taylor Mill Police Department,Latonia,KY,Local Police Department,39.015797,-84.49852,10,11,Friday,August,10,2018
Clarkson Police Department,Clarkson,KY,Local Police Department,37.494904,-86.222275,1,1,Friday,August,10,2018
Pikeville Police Department,Pikeville,KY,Local Police Department,37.48075,-82.51863,21,27,Friday,August,10,2018
Merriam Police Department,Merriam,KS,Local Police Department,39.01769,-94.69,28,33,Tuesday,August,21,2018
Berea City Police Department,Berea,KY,Local Police Department,37.569843,-84.2945,30,-999,Friday,August,10,2018
Rose Hill Police Department,Rose Hill,KS,Local Police Department,37.577183,-97.13643,9,11,Tuesday,August,21,2018
Johnson County Park Police,Lenexa,KS,Special Jurisdiction,38.98566,-94.78142,18,19,Tuesday,August,21,2018
Dodge City Police Department,Dodge City,KS,Local Police Department,37.75476,-100.01755,49,64,Tuesday,August,21,2018
Burden Police Department,Burden,KS,Local Police Department,37.31517,-96.75368,1,1,Tuesday,August,21,2018
Morgantown City Police Department,Morgantown,KY,Local Police Department,37.221558,-86.689575,6,6,Friday,August,10,2018
Oak Grove Police Department,Oak Grove,KY,Local Police Department,36.64119,-87.43301,14,19,Monday,August,13,2018
Morgan County Sheriffs Office,West Liberty,KY,Sheriff'S Office,37.920948,-83.2562,3,5,Monday,August,13,2018
Monroe County Sheriffs Office,Tompkinsville,KY,Sheriff'S Office,36.700752,-85.69221,2,4,Monday,August,13,2018
Ocean City Police Department,Ocean City,MD,Local Police Department,38.38826,-75.067245,107,133,Wednesday,August,8,2018
Bullitt County Sheriffs Office,Shepherdsville,KY,Sheriff'S Office,37.988064,-85.71611,40,45,Monday,August,13,2018
Adair County Sheriffs Office,Columbia,KY,Sheriff'S Office,37.102806,-85.30607,6,8,Monday,August,13,2018
Damariscotta Police Department,Damariscotta,ME,Local Police Department,44.033726,-69.518906,5,6,Thursday,March,7,2019
Bangor Police Department,Bangor,ME,Local Police Department,44.797134,-68.7729,75,90,Thursday,March,7,2019
Chesterfield Police Department,Chesterfield,IN,Local Police Department,40.112926,-85.59951,6,6,Tuesday,August,28,2018
Milford Police Department,Milford,MI,Local Police Department,42.58673,-83.58803,19,25,Thursday,February,7,2019
Gove County Sheriffs Department,Gove,KS,Sheriff'S Office,38.95818,-100.48817,4,5,Tuesday,August,21,2018
Troy Police Department,Troy,MI,Local Police Department,42.564053,-83.1555,129,183,Thursday,February,7,2019
Novi Police Department,Novi,MI,Local Police Department,42.46485,-83.48536,70,99,Thursday,February,7,2019
Brown City Police Department,Brown City,MI,Local Police Department,43.21175,-82.9877,2,2,Monday,February,11,2019
Sandusky Police Department,Sandusky,MI,Local Police Department,43.41937,-82.83086,5,5,Monday,February,11,2019
Presque Isle Police Department,Presque Isle,ME,Local Police Department,46.68876,-68.007805,19,22,Thursday,March,7,2019
Portland Police Department - Headquarters,Portland,ME,Local Police Department,43.659344,-70.25218,159,210,Thursday,March,7,2019
Gorham Police Department,Gorham,ME,Local Police Department,43.684917,-70.42922,23,25,Thursday,March,7,2019
Carleton Police Department,Carleton,MI,Local Police Department,42.059006,-83.391685,3,4,Thursday,February,7,2019
Coleman City Police Department,Coleman,MI,Local Police Department,43.757183,-84.58752,1,1,Thursday,February,7,2019
Howard City Police Department,Howard City,MI,Local Police Department,43.396,-85.468765,2,2,Thursday,February,7,2019
Lakeview Police Department,Lakeview,MI,Local Police Department,43.44296,-85.278694,2,2,Thursday,February,7,2019
Norton Shores Police Department,Norton Shores,MI,Local Police Department,43.16485,-86.26316,28,30,Thursday,February,7,2019
Roosevelt Park Police Department,Roosevelt Park,MI,Local Police Department,43.200665,-86.26529,6,6,Thursday,February,7,2019
Bad Axe Police Department,Bad Axe,MI,Local Police Department,43.80188,-82.99718,9,10,Wednesday,February,6,2019
Kalamazoo Department Of Public Safety - Headquarters,Kalamazoo,MI,Local Police Department,42.27968,-85.58163,244,299,Wednesday,February,6,2019
Junction City Police Department,Junction City,KY,Local Police Department,37.5862,-84.794266,3,3,Friday,August,10,2018
Lake Odessa Police Department,Lake Odessa,MI,Local Police Department,42.780872,-85.1385,4,4,Wednesday,February,6,2019
Ravenna Police Department,Ravenna,KY,Local Police Department,37.685047,-83.95386,2,2,Friday,August,10,2018
Montrose Township Police Department,Montrose,MI,Local Police Department,43.16652,-83.893425,8,9,Wednesday,February,6,2019
Cave In Rock Police Department,Cave In Rock,IL,Local Police Department,37.46812,-88.166504,1,1,Monday,November,5,2018
Hawesville Police Department,Hawesville,KY,Local Police Department,37.903034,-86.752144,1,1,Friday,August,10,2018
Irvine Police Department,Irvine,KY,Local Police Department,37.700863,-83.97637,6,6,Friday,August,10,2018
Graymoor-Devondale Police Department,Louisville,KY,Local Police Department,38.271343,-85.6144,2,2,Friday,August,10,2018
Blackman Township Department Of Public Safety,Jackson,MI,Local Police Department,42.291523,-84.422905,28,29,Wednesday,February,6,2019
Springport Township Police Department,Springport,MI,Local Police Department,42.378635,-84.696976,2,5,Wednesday,February,6,2019
Parchment Police Department,Parchment,MI,Local Police Department,42.320248,-85.570816,3,3,Wednesday,February,6,2019
Cold Spring Police Department,Newport,KY,Local Police Department,39.01891,-84.42844,12,12,Friday,August,10,2018
Moundridge Police Department,Moundridge,KS,Local Police Department,38.201286,-97.51935,3,3,Tuesday,August,21,2018
Dayton Police Department,Dayton,KY,Local Police Department,39.112408,-84.473465,7,8,Friday,August,10,2018
Monroe City Police Department,Monroe,MI,Local Police Department,41.913685,-83.397835,40,45,Thursday,February,7,2019
Flatwoods Police Department,Flatwoods,KY,Local Police Department,38.515278,-82.72463,10,11,Friday,August,10,2018
Morganfield City Police Department,Morganfield,KY,Local Police Department,37.68346,-87.91651,7,12,Friday,August,10,2018
Union County Sheriffs Department,Morganfield,KY,Sheriff'S Office,37.683784,-87.91736,7,8,Friday,August,10,2018
Grandview Plaza Police Department,Junction City,KS,Local Police Department,39.031635,-96.79728,6,6,Tuesday,August,21,2018
Shawnee County Sheriffs Office,Topeka,KS,Sheriff'S Office,39.054928,-95.67034,112,144,Tuesday,August,21,2018
Maysville Police Department,Maysville,KY,Local Police Department,38.645607,-83.76114,23,30,Friday,August,10,2018
Shelbyville Police Department,Shelbyville,KY,Local Police Department,38.21094,-85.213036,23,24,Friday,August,10,2018
Clinton County Sheriffs Office,Albany,KY,Sheriff'S Office,36.69057,-85.13548,5,6,Monday,August,13,2018
Lincoln County Sheriffs Office,Stanford,KY,Sheriff'S Office,37.52998,-84.6599,9,11,Friday,August,10,2018
Chocolay Township Police Department,Marquette,MI,Local Police Department,46.491005,-87.35483,4,5,Thursday,February,7,2019
Williamsburg Police Department,Williamsburg,KY,Local Police Department,36.741543,-84.160965,12,12,Monday,August,13,2018
Vine Grove Police Department,Vine Grove,KY,Local Police Department,37.809795,-85.98454,6,6,Monday,August,13,2018
Glencoe Police Department,Glencoe,KY,Local Police Department,38.71635,-84.82286,1,1,Monday,August,13,2018
Rockville City Police Department,Rockville,MD,Local Police Department,39.08179,-77.15164,57,95,Wednesday,August,8,2018
Fairfield Police Department,Fairfield,ME,Local Police Department,44.585712,-69.59504,12,13,Thursday,March,7,2019
Dexter Police Department,Dexter,ME,Local Police Department,45.024536,-69.29003,6,7,Thursday,March,7,2019
Sturgis City Police Department,Sturgis,KY,Local Police Department,37.546513,-87.98484,4,4,Monday,August,13,2018
White Lake Township Police Department,White Lake,MI,Local Police Department,42.649776,-83.51166,27,38,Thursday,February,7,2019
Houlton Police Department,Houlton,ME,Local Police Department,46.124355,-67.829124,14,19,Thursday,March,7,2019
Croswell Police Department,Croswell,MI,Local Police Department,43.2758,-82.62091,6,6,Monday,February,11,2019
Kennebec County Sheriffs Department,Augusta,ME,Sheriff'S Office,44.313396,-69.77782,22,113,Thursday,March,7,2019
Hampden Police Department,Hampden,ME,Local Police Department,44.74607,-68.84753,11,12,Thursday,March,7,2019
Smiths Grove Police Department,Smiths Grove,KY,Local Police Department,37.050507,-86.20839,1,1,Monday,August,13,2018
Gibson County Sheriffs Department / Gibson County Jail,Princeton,IN,Sheriff'S Office,38.35742,-87.56723,17,46,Tuesday,August,28,2018
Edmore Police Department,Edmore,MI,Local Police Department,43.40674,-85.03403,0,0,Thursday,February,7,2019
Hustonville Police Department,Hustonville,KY,Local Police Department,37.471626,-84.81657,1,1,Monday,August,13,2018
Clay City Police Department,Clay City,KY,Local Police Department,37.861355,-83.92285,2,2,Monday,August,13,2018
Pleasant Ridge Police Department,Pleasant Ridge,MI,Local Police Department,42.470833,-83.14238,6,6,Thursday,February,7,2019
Bloomfield Township Police Department,Bloomfield Hills,MI,Local Police Department,42.57803,-83.28158,75,98,Thursday,February,7,2019
Southampton Police Department,Southampton,MA,Local Police Department,42.228844,-72.72887,7,7,Friday,September,7,2018
Wright County Sheriffs Office / Wright County Jail,Clarion,IA,Sheriff'S Office,42.726448,-93.73494,8,26,Thursday,August,23,2018
Lassen County Sheriffs Department,Susanville,CA,Sheriff'S Office,40.425533,-120.64888,31,97,Tuesday,July,17,2018
San Mateo County Sheriffs Office,Redwood City,CA,Sheriff'S Office,37.48812,-122.23073,334,598,Tuesday,July,17,2018
Monterey County Sheriffs Office,Salinas,CA,Sheriff'S Office,36.7011,-121.63073,315,430,Tuesday,July,17,2018
Acushnet Police Department,Acushnet,MA,Local Police Department,41.6829,-70.90861,17,19,Friday,September,7,2018
Bedford Police Department,Bedford,MA,Local Police Department,42.492752,-71.28283,28,37,Friday,September,7,2018
University Of Connecticut-Storrs Police Headquarters,Storrs,CT,Special Jurisdiction,41.809727,-72.260506,48,61,Thursday,May,10,2018
Tallahassee Police Department,Tallahassee,FL,Local Police Department,30.458303,-84.27904,364,499,Wednesday,May,30,2018
Causeway Police Department,Saint Gabriel,LA,Local Police Department,30.259317,-91.07886,10,16,Thursday,February,14,2019
University Of Iowa Department Of Public Safety,Iowa City,IA,Special Jurisdiction,41.65886,-91.53588,33,58,Wednesday,August,29,2018
Adel Police Department,Adel,IA,Local Police Department,41.61699,-94.02027,8,9,Wednesday,August,29,2018
Anita Police Department,Anita,IA,Local Police Department,41.444702,-94.76523,1,1,Wednesday,August,29,2018
Tucson Airport Authority Police Department,Tucson,AZ,Special Jurisdiction,32.12042,-110.93761,22,46,Thursday,July,12,2018
